response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0757,0.0004,0.0000,0.0001,0.0750,0.0001,200,0.0001
0.0733,0.0000,0.0000,0.0000,0.0732,0.0001,200,0.0758
0.0807,0.0000,0.0000,0.0000,0.0806,0.0001,200,0.1491
0.0679,0.0000,0.0000,0.0000,0.0678,0.0000,200,0.2298
0.0676,0.0000,0.0000,0.0000,0.0676,0.0000,200,0.2977
0.0657,0.0000,0.0000,0.0000,0.0657,0.0000,200,0.3653
0.0723,0.0000,0.0000,0.0000,0.0722,0.0000,200,0.4310
0.0606,0.0000,0.0000,0.0000,0.0606,0.0000,200,0.5033
0.0593,0.0000,0.0000,0.0000,0.0593,0.0000,200,0.5640
0.0590,0.0000,0.0000,0.0000,0.0589,0.0000,200,0.6233
0.0586,0.0000,0.0000,0.0000,0.0585,0.0000,200,0.6823
0.0583,0.0000,0.0000,0.0000,0.0582,0.0001,200,0.7409
0.0588,0.0000,0.0000,0.0000,0.0587,0.0000,200,0.7992
0.0603,0.0000,0.0000,0.0000,0.0602,0.0000,200,0.8580
0.0692,0.0000,0.0000,0.0000,0.0691,0.0000,200,0.9182
0.0606,0.0000,0.0000,0.0000,0.0606,0.0000,200,0.9874
0.0607,0.0000,0.0000,0.0000,0.0606,0.0000,200,1.0481
0.0590,0.0000,0.0000,0.0000,0.0590,0.0000,200,1.1088
0.0656,0.0000,0.0000,0.0000,0.0655,0.0001,200,1.1678
0.0609,0.0000,0.0000,0.0000,0.0608,0.0000,200,1.2334
0.0603,0.0000,0.0000,0.0000,0.0603,0.0001,200,1.2943
0.0606,0.0000,0.0000,0.0000,0.0605,0.0001,200,1.3546
0.0743,0.0000,0.0000,0.0000,0.0742,0.0000,200,1.4152
0.0647,0.0000,0.0000,0.0000,0.0646,0.0000,200,1.4895
0.0648,0.0000,0.0000,0.0000,0.0648,0.0000,200,1.5542
0.0650,0.0000,0.0000,0.0000,0.0649,0.0001,200,1.6190
0.0656,0.0000,0.0000,0.0000,0.0655,0.0000,200,1.6840
0.0657,0.0000,0.0000,0.0000,0.0657,0.0000,200,1.7496
0.0667,0.0000,0.0000,0.0000,0.0666,0.0000,200,1.8154
0.0685,0.0000,0.0000,0.0000,0.0684,0.0000,200,1.8821
0.0696,0.0000,0.0000,0.0000,0.0696,0.0000,200,1.9505
0.0742,0.0000,0.0000,0.0000,0.0742,0.0000,200,2.0202
0.0681,0.0000,0.0000,0.0000,0.0680,0.0000,200,2.0944
0.0663,0.0000,0.0000,0.0000,0.0662,0.0000,200,2.1625
0.0742,0.0000,0.0000,0.0000,0.0741,0.0000,200,2.2288
0.0679,0.0000,0.0000,0.0000,0.0678,0.0000,200,2.3030
0.0674,0.0000,0.0000,0.0000,0.0673,0.0000,200,2.3709
0.0667,0.0000,0.0000,0.0000,0.0667,0.0000,200,2.4383
0.0722,0.0000,0.0000,0.0000,0.0721,0.0000,200,2.5050
0.0646,0.0000,0.0000,0.0000,0.0645,0.0001,200,2.5772
0.0648,0.0000,0.0000,0.0000,0.0648,0.0000,200,2.6418
0.0761,0.0000,0.0000,0.0000,0.0761,0.0000,200,2.7066
0.0688,0.0000,0.0000,0.0000,0.0688,0.0000,200,2.7828
0.0685,0.0000,0.0000,0.0000,0.0684,0.0000,200,2.8516
0.0727,0.0000,0.0000,0.0000,0.0726,0.0000,200,2.9201
0.0687,0.0000,0.0000,0.0000,0.0686,0.0000,200,2.9927
0.0651,0.0000,0.0000,0.0000,0.0650,0.0001,200,3.0614
0.0690,0.0000,0.0000,0.0000,0.0689,0.0000,200,3.1265
0.0683,0.0000,0.0000,0.0000,0.0682,0.0001,200,3.1955
0.0740,0.0000,0.0000,0.0000,0.0739,0.0000,200,3.2639
0.0644,0.0000,0.0000,0.0000,0.0643,0.0000,200,3.3379
0.0739,0.0000,0.0000,0.0000,0.0738,0.0000,200,3.4023
0.0660,0.0000,0.0000,0.0000,0.0659,0.0001,200,3.4762
0.0673,0.0000,0.0000,0.0000,0.0673,0.0000,200,3.5422
0.0677,0.0000,0.0000,0.0000,0.0676,0.0000,200,3.6095
0.0654,0.0000,0.0000,0.0000,0.0653,0.0000,200,3.6772
0.0640,0.0000,0.0000,0.0000,0.0640,0.0000,200,3.7426
0.0665,0.0000,0.0000,0.0000,0.0664,0.0001,200,3.8067
0.0659,0.0000,0.0000,0.0000,0.0658,0.0000,200,3.8731
0.0724,0.0000,0.0000,0.0000,0.0723,0.0001,200,3.9390
0.0660,0.0000,0.0000,0.0000,0.0659,0.0001,200,4.0114
0.0656,0.0000,0.0000,0.0000,0.0655,0.0001,200,4.0774
0.0652,0.0000,0.0000,0.0000,0.0651,0.0001,200,4.1430
0.0656,0.0000,0.0000,0.0000,0.0655,0.0001,200,4.2083
0.0700,0.0000,0.0000,0.0000,0.0699,0.0001,200,4.2739
0.0676,0.0000,0.0000,0.0000,0.0675,0.0001,200,4.3438
0.0701,0.0000,0.0000,0.0000,0.0700,0.0001,200,4.4114
0.0713,0.0000,0.0000,0.0000,0.0712,0.0000,200,4.4815
0.0654,0.0000,0.0000,0.0000,0.0654,0.0000,200,4.5528
0.0660,0.0000,0.0000,0.0000,0.0659,0.0000,200,4.6182
0.0664,0.0000,0.0000,0.0000,0.0663,0.0000,200,4.6842
0.0656,0.0000,0.0000,0.0000,0.0655,0.0001,200,4.7506
0.0653,0.0000,0.0000,0.0000,0.0652,0.0001,200,4.8162
0.0848,0.0000,0.0000,0.0000,0.0848,0.0000,200,4.8815
0.0649,0.0000,0.0000,0.0000,0.0648,0.0000,200,4.9664
0.0678,0.0000,0.0000,0.0000,0.0678,0.0000,200,5.0312
0.0641,0.0000,0.0000,0.0000,0.0640,0.0000,200,5.0991
0.0661,0.0000,0.0000,0.0000,0.0660,0.0000,200,5.1632
0.0650,0.0000,0.0000,0.0000,0.0649,0.0000,200,5.2292
0.0721,0.0000,0.0000,0.0000,0.0721,0.0000,200,5.2942
0.0721,0.0000,0.0000,0.0000,0.0720,0.0000,200,5.3664
0.0671,0.0000,0.0000,0.0000,0.0670,0.0001,200,5.4384
0.0747,0.0000,0.0000,0.0000,0.0746,0.0000,200,5.5055
0.0640,0.0000,0.0000,0.0000,0.0639,0.0000,200,5.5802
0.0665,0.0000,0.0000,0.0000,0.0664,0.0001,200,5.6442
0.0645,0.0000,0.0000,0.0000,0.0644,0.0000,200,5.7107
0.0650,0.0000,0.0000,0.0000,0.0649,0.0000,200,5.7752
0.0655,0.0000,0.0000,0.0000,0.0654,0.0000,200,5.8402
0.0668,0.0000,0.0000,0.0000,0.0667,0.0000,200,5.9057
0.0676,0.0000,0.0000,0.0000,0.0675,0.0001,200,5.9725
0.0719,0.0000,0.0000,0.0000,0.0718,0.0001,200,6.0400
0.0684,0.0000,0.0000,0.0000,0.0683,0.0000,200,6.1119
0.0687,0.0000,0.0000,0.0000,0.0686,0.0000,200,6.1803
0.0663,0.0000,0.0000,0.0000,0.0662,0.0001,200,6.2490
0.0658,0.0000,0.0000,0.0000,0.0657,0.0000,200,6.3153
0.0784,0.0000,0.0000,0.0000,0.0783,0.0000,200,6.3811
0.0668,0.0000,0.0000,0.0000,0.0667,0.0000,200,6.4595
0.0711,0.0000,0.0000,0.0000,0.0711,0.0000,200,6.5263
0.0657,0.0000,0.0000,0.0000,0.0656,0.0000,200,6.5974
0.0645,0.0000,0.0000,0.0000,0.0644,0.0000,200,6.6631
0.0668,0.0000,0.0000,0.0000,0.0667,0.0000,200,6.7276
0.0663,0.0000,0.0000,0.0000,0.0663,0.0000,200,6.7943
0.0670,0.0000,0.0000,0.0000,0.0669,0.0001,200,6.8607
0.0680,0.0000,0.0000,0.0000,0.0679,0.0000,200,6.9277
0.0735,0.0000,0.0000,0.0000,0.0734,0.0000,200,6.9957
0.0722,0.0000,0.0000,0.0000,0.0721,0.0001,200,7.0692
0.0679,0.0000,0.0000,0.0000,0.0678,0.0000,200,7.1414
0.0672,0.0000,0.0000,0.0000,0.0671,0.0000,200,7.2093
0.0652,0.0000,0.0000,0.0000,0.0651,0.0000,200,7.2764
0.0663,0.0000,0.0000,0.0000,0.0662,0.0001,200,7.3416
0.0729,0.0000,0.0000,0.0000,0.0728,0.0000,200,7.4079
0.0679,0.0000,0.0000,0.0000,0.0679,0.0001,200,7.4808
0.0660,0.0000,0.0000,0.0000,0.0659,0.0000,200,7.5487
0.0719,0.0000,0.0000,0.0000,0.0718,0.0000,200,7.6147
0.0655,0.0000,0.0000,0.0000,0.0654,0.0001,200,7.6866
0.0692,0.0000,0.0000,0.0000,0.0691,0.0000,200,7.7522
0.0657,0.0000,0.0000,0.0000,0.0656,0.0000,200,7.8213
0.0666,0.0000,0.0000,0.0000,0.0665,0.0000,200,7.8870
0.0678,0.0000,0.0000,0.0000,0.0678,0.0000,200,7.9536
0.0689,0.0000,0.0000,0.0000,0.0688,0.0000,200,8.0214
0.0678,0.0000,0.0000,0.0000,0.0677,0.0000,200,8.0903
0.0930,0.0000,0.0000,0.0000,0.0929,0.0001,200,8.1581
0.0588,0.0000,0.0000,0.0000,0.0587,0.0000,200,8.2511
0.0613,0.0000,0.0000,0.0000,0.0612,0.0000,200,8.3098
0.0715,0.0000,0.0000,0.0000,0.0714,0.0001,200,8.3711
0.0788,0.0000,0.0000,0.0000,0.0787,0.0000,200,8.4426
0.0672,0.0000,0.0000,0.0000,0.0671,0.0001,200,8.5215
0.0652,0.0000,0.0000,0.0000,0.0651,0.0000,200,8.5886
0.0656,0.0000,0.0000,0.0000,0.0655,0.0001,200,8.6538
0.0662,0.0000,0.0000,0.0000,0.0661,0.0000,200,8.7194
0.0660,0.0000,0.0000,0.0000,0.0659,0.0000,200,8.7856
0.0665,0.0000,0.0000,0.0000,0.0664,0.0001,200,8.8516
0.0759,0.0000,0.0000,0.0000,0.0758,0.0001,200,8.9181
0.0757,0.0000,0.0000,0.0000,0.0756,0.0001,200,8.9940
0.0670,0.0000,0.0000,0.0000,0.0669,0.0001,200,9.0697
