timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1105968,116301456,5,1077088,104325141,5,1084260,78155363,5,1143392,121308258
60,5,1110192,163076907,5,1083028,201548526,5,1088220,128660870,5,1149200,248519784
120,3,1087752,341824947,7,1107580,414412986,4,1081356,299253256,6,1162928,390444649
180,5,1110984,421636323,6,1100740,452549686,6,1108944,523590663,3,1127832,427643920
240,4,1102668,455586156,5,1087144,455774257,5,1100892,494734230,6,1167960,525324141
300,4,1103064,505746667,6,1101532,624472045,5,1102476,583567524,5,1159644,611976844
360,5,1115472,645546147,5,1092952,624020708,5,1099572,631991554,5,1162020,608846527
420,3,1091844,673874252,6,1104964,684357997,5,1102680,729439146,6,1175748,676778988
480,3,1095408,728554575,6,1109188,790686337,6,1114296,749598468,5,1169016,822225501
540,3,1098312,787424879,6,1111828,911855444,6,1120764,829414618,5,1168488,825019045
600,3,1098444,849994569,5,1098496,957492955,6,1121304,933161800,6,1178784,871640449
