timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,993496,154268113,5,989596,211027714,5,987008,148510488,5,1001100,264752166
60,5,999436,311962446,5,995668,389628786,5,992552,251517509,5,1008096,500274199
120,7,1028344,498851773,4,986164,521877351,6,1011560,469998178,3,979188,581856055
180,9,1058308,645097957,4,990388,767664020,6,1018028,689812975,1,955956,600795786
240,9,1068736,864302484,3,977452,843846019,6,1021328,824564406,2,971796,747756891
300,8,1053556,857341643,3,980224,999823530,6,1024100,839877383,3,988956,1050735373
360,9,1074016,1078596871,2,966364,1002444746,7,1039940,1082282595,2,978396,1115005247
420,9,1078768,1257751175,2,968872,1057833495,7,1043108,1200441819,2,979188,1121998664
480,8,1064644,1242262686,3,989860,1315321088,7,1046276,1243716219,2,979980,1255717745
540,8,1064776,1295848105,3,991180,1430906674,7,1048388,1377797017,2,983148,1314779422
600,8,1069000,1330939086,3,991972,1483478775,7,1052084,1452849795,2,983940,1407367612
