timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1573064,1063647280,5,1503300,1048676310,5,1624668,1293883925,5,1496004,1033292067
60,5,1521056,990246965,5,1607976,1206779167,5,1616088,1242008275,5,1482408,995755736
120,5,1552472,986494446,5,1552008,1131171858,5,1651464,1297075345,5,1512372,1008631891
180,5,1593392,1046478879,5,1563888,1100437288,5,1647900,1225516499,5,1522668,1094467089
240,5,1580984,1033591678,5,1561512,1139330488,5,1620444,1216651924,5,1521744,1020734322
300,5,1614116,1088194819,5,1580520,1118775099,5,1638264,1264364566,5,1511448,1049397178
360,5,1581644,1054653773,5,1568244,1079367719,5,1669284,1274394058,5,1549200,1069370106
420,5,1607120,1053675714,5,1578540,1076665381,5,1617408,1231772279,5,1549992,1091202796
480,5,1600256,1014014721,5,1592004,1114515691,5,1654896,1263447229,5,1537584,1057042336
540,5,1589828,1009217536,5,1592928,1087212681,5,1639320,1251584032,5,1560024,1093642738
600,5,1581248,1032517757,5,1596360,1073957146,5,1649088,1287735383,5,1547088,1020170582
