timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1508216,576173945,10,1529564,714673995,10,1483328,586689005,10,1570580,731525528
60,10,1599428,584484093,10,1638992,736424715,10,1563320,559494649,10,1593548,743776565
120,10,1646024,647422412,10,1679648,697469195,10,1568072,562117841,10,1662188,711698170
180,10,1691168,625016703,10,1699448,723182408,10,1617704,584833529,10,1694396,661336430
240,10,1684436,599100797,10,1709612,695713954,10,1653608,581491524,10,1712084,733401402
300,10,1712156,580615931,10,1718852,709290636,10,1667336,568563661,10,1706672,727088316
360,10,1708196,585961780,10,1774424,721189497,10,1646876,557855997,10,1731620,735792512
420,10,1749248,629419248,10,1764128,699413865,10,1674068,549075775,10,1763036,711890408
480,10,1729184,579185705,10,1745252,668968442,10,1687400,596738284,10,1758020,732702755
540,10,1759940,638144278,10,1767296,708441510,10,1685288,569406162,10,1762904,672862430
600,10,1750700,609720731,10,1774720,704759364,10,1705220,565003944,10,1758812,705187235
