timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1252212,237141758,10,1260484,256702625,10,1247388,210709220,10,1244756,205778187
60,10,1392924,382315790,10,1382848,367228290,10,1377936,382833298,10,1375964,357494088
120,10,1486776,498341683,10,1465876,542866138,10,1491192,570188467,10,1462688,480904866
180,10,1584720,693816275,10,1501120,614143774,10,1547820,658760320,10,1540172,672855690
240,10,1635012,825706101,10,1571608,802888404,10,1606032,800892817,10,1593764,745496355
300,10,1631448,942310528,10,1642096,913764626,10,1681008,965948088,10,1606436,825771622
360,10,1672368,1055494723,10,1661236,1002108685,10,1713480,1064364781,10,1688144,956540055
420,10,1721868,1110626128,10,1707700,1130970097,10,1741728,1189416440,10,1716656,1071067879
480,10,1761336,1217477457,10,1736212,1207675598,10,1792944,1219420050,10,1746884,1175369104
540,10,1785492,1330395499,10,1794820,1337107549,10,1813668,1336142560,10,1797968,1230371477
600,10,1839700,1418606825,10,1824388,1373367988,10,1882280,1449615183,10,1817940,1366026117
