timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1230496,194786211,10,1234732,194048170,10,1254644,215610745,10,1208744,191961722
60,10,1366060,353879416,10,1346932,322912894,10,1413704,389119852,10,1364504,356343714
120,10,1461496,536963042,10,1452268,498597745,10,1510724,494378099,10,1463108,449158109
180,10,1528816,657253432,10,1508368,613638035,10,1579232,659635509,10,1518416,575713201
240,10,1589140,803572810,10,1571464,793754023,10,1602464,767250399,10,1572008,707364440
300,10,1640488,948981459,10,1627168,856577500,10,1667408,903935198,10,1631672,826142369
360,10,1657516,994829219,10,1639444,1006128614,10,1730768,1089481129,10,1664012,902581930
420,10,1722196,1191703084,10,1704256,1065969683,10,1736840,1168031644,10,1710608,953938064
480,10,1741072,1177493638,10,1778308,1208591145,10,1800728,1301191011,10,1743872,1157340255
540,10,1813276,1303980209,10,1780420,1264785895,10,1805744,1353992359,10,1785056,1232456198
600,10,1834476,1380387640,10,1813420,1322065949,10,1886984,1497541383,10,1798124,1281610667
