timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1545140,660632991,10,1602040,746795596,10,1560948,632014599,10,1498548,585953935
60,10,1598072,640932240,10,1548316,601421431,10,1623516,668035049,10,1590684,624164911
120,1,1599128,708435659,3,1541056,715105173,1,1611504,684602809,4,1644012,645813526
180,9,1487060,747635808,8,1525480,761203447,8,1504980,779575776,7,1475792,756751379
240,4,1468316,711725946,2,1434664,776676855,4,1580880,673741096,5,1473836,652640931
300,6,1553060,838025537,8,1429516,718908502,9,1538376,693312423,7,1459760,718469935
360,6,1526264,642570959,5,1443904,788110230,3,1517388,652371114,3,1528400,770373483
420,8,1451816,704691733,7,1625800,750636422,6,1437660,717560085,6,1476152,739986962
480,5,1416968,728549407,7,1610224,755643064,5,1447164,711700955,4,1542680,627005294
540,5,1513988,796230293,4,1580920,628117671,5,1463176,793370878,6,1418600,739431025
600,8,1554380,838128727,5,1374340,493146083,5,1466344,722940220,7,1533836,880589197
