timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1074108,649122175,5,1071600,638701895,5,1079892,735086677,5,1072320,704480807
60,5,1071600,616953017,5,1072260,684453641,5,1083060,836849975,5,1072056,571366006
120,7,1092060,625338126,5,1075428,674080257,3,1052832,741285049,5,1074036,665362577
180,7,1096284,635337380,5,1071468,641531526,3,1054548,770543799,5,1075752,663665260
240,7,1099848,623493450,5,1076352,671729525,3,1052172,769015731,5,1074036,625811027
300,7,1098660,677211730,5,1072260,693339216,3,1056396,726911135,5,1075752,599410313
360,7,1100772,623710896,5,1074504,737986353,3,1052700,693182760,5,1076148,618032818
420,8,1109880,636730272,4,1065528,680844348,3,1052964,727251596,5,1075356,615131555
480,8,1117272,696190489,4,1057080,586318309,3,1055472,749218890,5,1076148,616558761
540,8,1116348,677966475,4,1058400,635278252,3,1055076,719658921,5,1076148,613180655
600,8,1116348,690289996,4,1056684,594649621,3,1054944,800190541,5,1078260,586909654
