timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1103204,1029359843,5,1105952,1303384611,5,1100420,860081749,5,1110032,1464945648
60,5,1100828,1008286529,5,1108064,1301309657,5,1104644,906632097,5,1112672,1498104078
120,6,1114424,1129524165,4,1093544,1195342036,6,1123388,1133859711,4,1093004,1246439677
180,7,1135412,1173431177,4,1093280,1171948968,6,1121936,1133163278,3,1080596,1196440411
240,7,1133168,1222790468,4,1089320,1198989859,6,1122860,1142832057,3,1078484,1188382437
300,7,1136468,1196904279,4,1088660,1134273153,6,1129724,1215080535,3,1075448,1171782469
360,7,1131716,1223038100,4,1091036,1140275876,6,1135136,1210158121,3,1076504,1166643429
420,7,1133564,1145102023,4,1091696,1167213348,6,1124708,1251063344,3,1077032,1098914047
480,7,1135016,1098967894,4,1090376,1189090230,5,1113620,1153543541,4,1093136,1302184994
540,8,1151120,1194354045,4,1090376,1175469778,5,1110320,1124187016,3,1075580,1244330296
600,8,1149932,1321069134,4,1089716,1183324596,6,1124840,1196702766,2,1062248,1055256774
