timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1150868,136885917,5,1161008,156930036,5,1159472,133265682,5,1162196,172722567
60,5,1228880,253855222,5,1266476,383596494,5,1224812,207534903,5,1253540,391836017
120,5,1296200,368924672,5,1338944,505633825,5,1310480,353644710,5,1320992,599985139
180,5,1337384,487055545,5,1389236,665765709,5,1353248,402841503,5,1398872,794810725
240,5,1410380,649215315,5,1439132,770045025,5,1392848,554382531,5,1449296,878464919
300,5,1453412,774225642,5,1487840,902658490,5,1426244,644243023,5,1488500,1086417870
360,5,1491824,912632618,5,1517804,1041401371,5,1453832,716032456,5,1525724,1146216403
420,5,1514000,885941158,5,1584596,1191083114,5,1522208,823071798,5,1578656,1349268136
480,5,1545812,1062130405,5,1586444,1226480824,5,1523264,912128816,5,1613900,1444607353
540,5,1543964,1127069788,5,1628948,1402043719,5,1528148,933643003,5,1671980,1615607030
600,5,1596764,1199251498,5,1672244,1478156073,5,1547024,930878981,5,1709996,1667342923
