timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1069312,618263289,5,1067532,673562826,5,1077664,741921557,5,1072452,670717492
60,5,1069312,609650673,5,1068720,665539734,5,1077664,826451053,5,1071396,639371447
120,5,1069840,582405113,5,1069512,700326763,5,1078060,746628005,5,1071264,656968147
180,5,1071688,677892464,5,1071888,750143228,5,1076872,720450036,5,1070736,614720059
240,5,1070104,559582563,5,1068720,659509302,5,1079644,802345102,5,1072980,657725198
300,5,1070236,609346503,5,1070568,685317450,5,1076344,763963278,5,1074828,627711917
360,5,1071556,618395485,5,1068852,707378307,5,1079248,750722111,5,1073508,618030821
420,5,1073008,603803286,5,1071360,682857372,5,1081360,794743489,5,1073244,652471085
480,5,1073272,679804835,5,1071492,674908796,5,1078588,740139398,5,1073640,644667084
540,5,1074196,682163197,5,1071360,660956102,5,1077796,770541051,5,1075356,608338347
600,5,1071028,609901005,5,1071492,656577368,5,1079512,781193436,5,1074432,654500853
