timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1146692,1288750954,10,1133200,1172787373,10,1146076,1200283013,10,1130724,1070174394
60,10,1148276,1260625468,10,1136896,1162883134,10,1148584,1214670001,10,1130988,1150998953
120,4,1138112,1255728535,3,1123300,1224084919,2,1166696,1289263884,3,1196192,1133864789
180,4,1114088,1238658783,7,1100200,1153826552,10,1164188,1325242953,12,1201340,1332273599
240,2,1086896,1014904146,6,1156036,1006508777,4,1128284,1397480738,8,1241468,1424926235
300,8,1144976,1298191233,5,1110892,1212289509,5,1154156,1154066046,9,1189196,1366704675
360,6,1167020,1356300602,5,1122244,1233173584,6,1151252,1044571272,9,1184048,1263273341
420,8,1182068,1329376713,6,1148468,1125975908,4,1137788,1216201212,7,1172960,1262174274
480,5,1145372,1304000602,7,1171752,1115062999,7,1151780,1236738594,7,1163984,1220121759
540,6,1136792,1082380776,8,1173732,1261121291,4,1183988,1366384367,7,1145504,1213377457
600,6,1152632,1329219589,9,1187828,1254002959,5,1117008,1111448703,8,1149728,1306299204
