timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1101272,174465274,5,1088540,165770263,5,1079572,207747799,5,1091520,251278696
60,5,1104440,326020890,5,1093292,363027584,5,1085248,411047645,5,1097064,339678266
120,7,1129388,488588998,5,1096196,531788962,3,1063072,559538289,5,1101156,486169507
180,7,1136252,637697549,5,1098176,683873143,3,1066900,711143423,5,1104060,609435904
240,7,1141268,785854171,5,1102136,818652320,3,1068088,859489291,5,1104984,737708504
300,7,1143512,944927166,5,1105040,937442639,3,1073236,1012976784,5,1108548,886315423
360,7,1148264,1011182813,5,1108472,1030597873,3,1074688,1205060990,5,1108152,954033621
420,7,1150112,1143496581,5,1110452,1155416534,3,1076800,1232167883,5,1112640,1085885171
480,7,1152620,1217376666,5,1113488,1276944247,3,1079836,1338873090,5,1114224,1222758658
540,7,1155260,1340070466,5,1115468,1358504190,3,1081816,1422729419,5,1118184,1299973247
600,7,1157108,1442609665,5,1117448,1456984589,3,1086172,1492355045,5,1118976,1339754021
