timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1538720,950841980,5,1610052,1235122465,5,1489068,789743624,5,1703680,1414396584
60,5,1546376,963674634,5,1645296,1180416674,5,1492104,807077142,5,1680580,1434881478
120,4,1542152,1274238734,5,1524252,1171177811,6,1534016,1043457370,5,1581712,1156776173
180,5,1561952,1283597471,5,1541148,1154196286,5,1561076,1074401797,5,1550164,1099218755
240,4,1487372,1177580320,5,1591704,1219270903,5,1492040,1117794824,6,1659592,1187083756
300,5,1549016,1172273027,5,1585368,1173789640,5,1564772,1077364450,5,1649956,1186222254
360,4,1581356,1309101325,5,1577712,1155568504,6,1547348,1035464663,5,1519672,1079480706
420,4,1533044,1242397611,5,1570320,1186247319,5,1533356,1071371853,6,1566532,1101351828
480,5,1516016,1193003449,5,1610976,1164437823,5,1546952,1152541542,5,1611544,1164806604
540,5,1565252,1276995919,5,1663380,1243420952,5,1547744,1094360817,5,1521916,1012470157
600,4,1562612,1312180320,5,1529400,1103281756,5,1551308,1088321337,6,1583032,1082608323
