timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1126280,1130414477,10,1142648,1281183437,10,1135384,979149900,10,1115152,1309418078
60,10,1128128,1092674408,10,1141856,1294001704,10,1139344,1060551152,10,1117792,1261507543
120,10,1128284,1289951584,10,1135124,1309799399,10,1136408,1221971440,10,1114888,1295209581
180,10,1123744,1307941730,10,1140932,1309294975,10,1137680,1243670576,10,1116868,1304061314
240,10,1132852,1311897693,10,1134200,1256460525,10,1142564,1306487208,10,1118584,1244160037
300,9,1112524,1275064882,10,1140404,1287410805,10,1142380,1356161442,11,1136008,1319381205
360,10,1129024,1311472791,10,1143704,1163918855,10,1140136,1157094045,10,1126768,1262272624
420,9,1117276,1305290469,11,1150832,1270530293,10,1139740,1250403517,10,1127824,1321815006
480,10,1127572,1293936253,10,1144364,1357179603,10,1138024,1226462099,10,1126372,1340277981
540,10,1128772,1267054810,10,1139084,1332314768,10,1143100,1205330911,10,1129672,1310976515
600,10,1136428,1364196788,10,1142912,1250264917,10,1139140,1280275283,10,1126156,1219908000
