timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1127608,76867873,5,1137684,80044474,5,1142108,78126098,5,1173144,108118582
60,5,1224496,211995782,5,1249356,276827786,5,1232000,173014666,5,1274784,311429494
120,5,1314256,356269408,5,1334628,444094226,5,1306580,260039847,5,1346328,488954591
180,5,1351480,457030256,5,1400364,557058557,5,1356608,357859321,5,1424472,742434408
240,5,1404016,587060130,5,1431120,748677904,5,1393700,474210560,5,1473312,865321750
300,5,1455892,661117737,5,1503984,909098208,5,1421816,543793041,5,1529016,1034835228
360,5,1486384,797849315,5,1526292,945539982,5,1464188,687616872,5,1587492,1205308354
420,5,1513444,937031973,5,1552692,1070857252,5,1514876,780547406,5,1621944,1319848809
480,5,1539184,965219597,5,1635324,1275472644,5,1531112,834163683,5,1634616,1472443057
540,5,1565188,1075101933,5,1645884,1323997167,5,1577312,877057424,5,1695336,1561701922
600,5,1628812,1183415028,5,1698684,1447528774,5,1585232,916536621,5,1706028,1614332426
