timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1350968,540596871,5,1387404,736536550,5,1247544,420812951,5,1428504,860187416
60,5,1341464,539502382,5,1382124,672634086,5,1324104,442975362,5,1475892,879781740
120,5,1385156,554459301,5,1440864,718345796,5,1355652,423023352,5,1443156,835281298
180,5,1373804,525123713,5,1445616,733826980,5,1359348,451261562,5,1474572,780648257
240,5,1421588,530308335,5,1464888,778945219,5,1368192,400236390,5,1491600,826336103
300,5,1410896,501267821,5,1464360,762615055,5,1356576,462507847,5,1471008,841803848
360,5,1424360,539072312,5,1463436,739230258,5,1367532,454204814,5,1477080,784751400
420,5,1417364,529560863,5,1426872,692113080,5,1407924,512365384,5,1529088,835539979
480,5,1430300,563287754,5,1484424,738820147,5,1394724,457633525,5,1465860,804291713
540,5,1425152,547129753,5,1476900,656189737,5,1418220,478499893,5,1509420,834443675
600,5,1402712,547588451,5,1498284,755999199,5,1407660,435955045,5,1522356,797447026
