timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1173244,142189887,10,1151992,116645925,10,1170904,142850173,10,1150696,148924570
60,10,1180372,236518228,10,1161100,234769123,10,1176712,232976695,10,1156108,208049501
120,10,1184464,301556065,10,1163872,298912789,10,1181992,327767301,10,1160596,308082675
180,10,1187896,386898006,10,1169020,395533767,10,1183708,397254127,10,1165480,388780167
240,10,1189480,469581356,10,1171396,430626968,10,1188460,509108558,10,1167064,446154029
300,10,1193308,540380524,10,1173376,548572400,10,1189516,557414179,10,1169308,517741731
360,10,1195156,629888454,10,1174168,601542894,10,1192684,637454010,10,1173136,584549941
420,10,1198060,782107876,10,1177600,625133825,10,1194796,698522038,10,1174456,662695803
480,10,1198456,809167430,10,1182748,731870397,10,1195060,783400531,10,1176040,724723996
540,10,1200700,825668241,10,1183276,811726511,10,1197568,840486965,10,1178548,801554838
600,10,1202416,941705068,10,1183144,884580154,10,1200868,896861606,10,1178416,809183471
