timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1072964,54219291,5,1098924,76992063,5,1080832,77965727,5,1070012,69209600
60,5,1139228,144130896,5,1160172,145316825,5,1138252,140316159,5,1143008,186452970
120,5,1095660,316359892,5,1109960,379452262,5,1153944,234391251,5,1100636,352741783
180,4,1115592,425856452,5,1157132,387287006,5,1152624,350638939,6,1188812,387888579
240,4,1099356,326704584,5,1227620,456915640,5,1178100,611219845,6,1107104,464741672
300,4,1101204,562033290,5,1204800,597388345,6,1144572,570492769,5,1160048,380740566
360,5,1133148,618397089,5,1234368,584343016,5,1188660,555249006,5,1183412,662612278
420,5,1172088,469339066,5,1231860,833371498,5,1110912,728358969,5,1152788,588915532
480,5,1254324,642291058,4,1232256,694319975,6,1240932,908300063,5,1287296,681360993
540,5,1271088,730036149,5,1180776,751929930,5,1211880,909186618,5,1302992,771003333
600,4,1279404,754578070,5,1370196,824114384,6,1231692,639586483,5,1277252,1147728692
