timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1523228,988395054,5,1535324,1170769870,5,1603656,1170125721,5,1484200,987159573
60,5,1525076,1009038284,5,1572152,1128547687,5,1646160,1254231598,5,1499380,1017447992
120,5,1516232,1020770673,5,1569248,1138764404,4,1653156,1249034412,5,1547428,1006709014
180,5,1547252,1012710886,5,1556048,1121895102,3,1498188,1017106801,6,1626760,1238641928
240,6,1612856,1080214797,5,1572944,1073813665,3,1417140,1000601206,6,1635604,1198909966
300,6,1601108,1043740420,5,1599608,1123705343,3,1446048,927388782,6,1656856,1280820517
360,6,1650608,1082211853,5,1594724,1142130128,3,1425852,963994116,5,1627288,1224618494
420,6,1623416,1024334442,5,1608320,1162606969,4,1588608,1276362098,5,1518916,951142836
480,6,1611800,1004026835,5,1560668,1113366162,4,1646028,1327806701,5,1504792,891129479
540,6,1632392,1130745762,5,1598420,1068691794,4,1579764,1250529346,5,1519048,900378022
600,6,1630016,1089157830,5,1596704,1099582751,4,1589532,1292650138,5,1500832,913291127
