timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1084244,211506475,5,1115644,196707012,5,1082648,238360501,5,1064880,209143915
60,5,1088732,327827928,5,1119340,374594888,5,1088192,441501744,5,1070292,347456410
120,3,1068536,529536328,3,1103500,607155713,7,1110556,674800625,7,1096692,608622264
180,6,1103960,701063336,3,1108680,795015182,3,1073992,740418995,8,1115964,777327143
240,9,1143848,898549437,5,1130680,907310373,3,1074652,902479356,3,1061844,854112691
300,5,1102796,946115904,7,1156948,1055162951,4,1088644,940940138,4,1077288,1052655162
360,3,1080724,993597920,5,1141636,1136408955,5,1097752,1048596977,7,1113588,1212595604
420,3,1083788,1056160032,6,1149996,1250812278,8,1137748,1208671836,3,1068444,1242067457
480,7,1128008,1341912115,5,1143924,1285607868,3,1085476,1314938578,5,1091940,1297511025
540,7,1132760,1380725177,5,1145904,1395321652,3,1088776,1459437167,5,1100520,1375416163
600,3,1092608,1469182736,6,1158972,1480834973,5,1108180,1487777202,6,1111080,1461222049
