timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1165208,71842930,10,1198632,70848686,10,1152180,61956308,10,1137056,62023412
60,10,1246520,126123973,10,1305552,168979406,10,1264248,166363213,10,1233812,142873477
120,2,1359116,260557146,3,1385148,218503235,3,1346880,205989165,3,1318160,224573600
180,9,1341560,523864317,7,1453920,502446561,7,1333944,438198156,7,1309860,432528243
240,5,1550648,476107501,6,1447848,431689493,5,1366944,378615373,5,1448988,459504776
300,5,1452440,488238546,7,1454296,445245686,6,1489836,580727975,6,1491492,586450685
360,6,1427756,539689681,5,1629856,766405890,6,1517160,601307645,8,1464564,581163006
420,5,1538768,665185534,5,1607280,800713645,7,1499340,580112631,5,1517892,606804794
480,4,1616384,896952513,4,1507488,728642949,7,1589720,716424198,7,1436712,607400086
540,5,1614140,933202023,6,1525308,665156390,6,1619288,888054571,6,1545216,726776239
600,6,1664168,910944798,5,1636584,829245709,7,1609340,881504355,6,1517892,760376212
