timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1163612,626497104,10,1204552,786571876,10,1164096,584443638,10,1154516,782856747
60,10,1167176,716849944,10,1208644,755108242,10,1167132,588272156,10,1155308,734606307
120,10,1169024,689012757,10,1208644,683305604,10,1166604,587172012,10,1157156,776676598
180,10,1169948,650361808,10,1208116,795514622,10,1167396,556678789,10,1159004,769248760
240,10,1170476,602955055,10,1207588,771259679,10,1168188,630594725,10,1158740,792400273
300,10,1173248,676504595,10,1207192,727533210,10,1168716,552120288,10,1161248,779074733
360,10,1173644,668232209,10,1209832,765783156,10,1168452,593121149,10,1159004,783232958
420,10,1174040,685227661,10,1209436,689806656,10,1168848,547443234,10,1160324,801124074
480,10,1172984,697701219,10,1210756,739781059,10,1172016,560277777,10,1160456,803146974
540,10,1174700,638784048,10,1212208,734589473,10,1171620,593841990,10,1161512,792871705
600,10,1173644,624682828,10,1212340,800275074,10,1169904,613462273,10,1159004,752496332
