timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,998972,175507993,5,991048,195623829,5,993544,207107516,5,1002156,187059448
60,5,1004648,316148659,5,995272,359356763,5,1000012,420247884,5,1006116,366022125
120,7,1029200,482865882,5,999100,478170191,3,978760,619930665,5,1011000,538036300
180,7,1036592,635687519,5,1001872,660155538,3,980344,721121260,5,1010868,630388612
240,7,1041212,783621631,5,1005040,786577570,3,985096,916822533,5,1014828,740882649
300,7,1044116,869811834,5,1008736,971480904,3,987340,1007885866,5,1016676,878429743
360,7,1046228,1083439613,5,1010188,1004074878,3,991300,1207502115,5,1020504,953894889
420,7,1052828,1105866486,5,1013488,1211016300,3,991300,1233866652,5,1022220,1100120000
480,7,1052828,1198713722,5,1016392,1261645267,3,993148,1371457345,5,1027104,1295848651
540,7,1055468,1327003983,5,1016788,1348469015,3,996316,1520442736,5,1028952,1299141087
600,7,1060220,1432262238,5,1021144,1495830892,3,998824,1495083817,5,1027764,1363061578
