timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1083452,119154776,10,1058988,129737784,10,1090344,139938856,10,1100860,124540779
60,10,1094408,324176340,10,1067964,306707987,10,1100772,314079526,10,1110892,252310893
120,10,1101008,506981880,10,1074960,459118507,10,1106052,454873323,10,1114852,373197511
180,10,1106948,671280392,10,1077468,594523929,10,1111992,634221931,10,1120264,578530993
240,10,1111172,803178103,10,1082088,720018930,10,1115292,835226606,10,1123300,717204965
300,10,1115528,953428645,10,1089216,880069593,10,1118196,921445165,10,1126864,839562114
360,10,1117640,1059916928,10,1092912,1021171622,10,1121496,965841908,10,1131748,917491898
420,10,1122524,1194968489,10,1094364,1124890957,10,1124136,1135939729,10,1135312,1027813424
480,10,1124636,1248058989,10,1099512,1310537608,10,1129020,1225700983,10,1135708,1095154605
540,10,1130048,1345364927,10,1096080,1271529121,10,1135488,1431138801,10,1139932,1223802789
600,10,1133216,1426927910,10,1104000,1476657503,10,1133904,1401667008,10,1141252,1284987456
