timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1339032,548257257,5,1420676,714345688,5,1279752,457084648,5,1409088,842939900
60,5,1336524,510503791,5,1425032,711670439,5,1300344,397769688,5,1488156,916713157
120,4,1153968,632148391,5,1330256,812186963,5,1171380,509342685,6,1235508,873974227
180,5,1167828,677506243,5,1269396,754184028,4,1150524,637867974,4,1125288,763012606
240,4,1223136,679843532,5,1237320,815435005,5,1175208,646353523,6,1362756,579646183
300,4,1362924,755734879,6,1215964,701670955,5,1204512,504819947,5,1203828,713322006
360,4,1254960,744429824,5,1246852,653866579,5,1128692,632491670,6,1218876,699232556
420,2,1220376,634551179,6,1192864,762527133,6,1226900,759402671,6,1252800,564359763
480,3,1276080,600160547,6,1381096,795211227,5,1236668,738042333,6,1257552,550742795
540,4,1342872,728778390,5,1246060,659383806,6,1385168,702330479,5,1240128,547532144
600,4,1285452,854047296,5,1291908,634063750,5,1235744,758123715,6,1267056,443848157
