timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1171176,624512332,10,1169580,743927808,10,1177784,620773555,10,1170020,740298723
60,10,1170780,599101473,10,1173804,728452959,10,1181216,587750762,10,1174376,817310250
120,9,1162464,743681258,9,1161660,845845097,10,1180160,749108943,12,1187576,849007766
180,10,1173156,825366673,10,1165224,818770129,10,1177256,815339733,10,1168832,789476774
240,10,1170120,814106987,10,1167828,733995959,10,1179768,784380019,10,1171540,836501590
300,10,1170516,722736218,10,1166772,909780439,10,1180956,805663852,10,1168372,840538437
360,10,1166688,772484402,10,1166640,883835484,10,1184280,839099407,10,1168504,809474805
420,11,1182660,759712064,10,1164068,737499910,9,1172664,882318876,10,1169560,805084487
480,10,1173684,852661364,10,1163004,767607044,10,1184152,741516382,10,1174576,874715427
540,10,1173288,862100572,10,1162656,734978594,10,1180508,828031994,10,1167184,833953310
600,9,1162596,788590196,11,1170576,793794367,10,1182224,851808480,10,1168636,815307814
