timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1115352,94036815,5,1117636,97412990,5,1102240,88245788,5,1119508,82052113
60,5,1186764,163954474,5,1172548,161565015,5,1186456,188058545,5,1180888,166775840
120,5,1166172,330498957,5,1177036,354693979,5,1157548,377838659,5,1184584,283289384
180,5,1211180,404749967,5,1163440,393853793,5,1208896,439386995,5,1216264,384270639
240,5,1251104,564016496,5,1267324,427626433,5,1192132,425442001,5,1159636,396693302
300,5,1249072,539671504,5,1206868,665827180,5,1251796,453818425,5,1233820,473883126
360,5,1260820,660495805,5,1212280,616364069,5,1248628,652920273,5,1224052,589121397
420,5,1212224,718542461,6,1222708,634916094,5,1230836,693860387,4,1276612,636615116
480,5,1251980,738764187,5,1287388,636806219,5,1356896,890968113,5,1288096,718537008
540,5,1368272,734656729,4,1273000,806031852,5,1280204,948703354,6,1256284,792211197
600,6,1289204,931599466,5,1314844,963190768,4,1285880,824246542,5,1304464,744943420
