timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1542788,552957951,5,1468984,523697421,5,1523652,521772711,5,1476232,512098023
60,5,1506620,470259647,5,1492084,549934542,5,1525148,558264926,5,1467388,495134421
120,5,1463216,583645062,5,1488396,596650890,5,1513876,732887005,5,1495896,664007083
180,5,1464308,640731991,5,1431644,624974668,5,1495596,692823711,5,1516560,839996383
240,5,1538916,629363477,5,1472952,765793965,5,1488732,535747631,5,1444980,692856350
300,5,1520004,650118315,5,1442264,710332068,5,1501060,704902465,5,1466116,713632973
360,5,1512248,725989297,5,1436992,605718198,5,1473664,735319920,5,1484836,751428180
420,6,1523040,702260348,4,1495732,669493017,5,1458112,583778792,5,1466108,671340159
480,5,1527388,669382008,5,1466576,770790298,5,1461808,494112214,5,1491980,623574312
540,5,1482228,685627930,5,1487008,709189737,5,1450516,542892756,5,1478104,737878963
600,5,1469184,706328612,5,1495916,718239036,5,1467676,602898549,5,1453848,682870981
