timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1216512,34316896,3,1208352,44587001,2,1192068,38712078,3,1231412,70861899
60,2,1254924,53117915,3,1277916,80770245,2,1227444,50296783,3,1242632,64889485
120,3,1283172,83078735,1,1201488,88500114,3,1294236,93358421,3,1246724,81522251
180,4,1321980,99492976,1,1211124,73081010,2,1242888,51053641,3,1273784,115199516
240,4,1368840,88682162,2,1268808,130827626,3,1268760,87610532,1,1199600,132609381
300,4,1396560,84747656,2,1284384,108398659,3,1310604,68555626,1,1206992,115957925
360,4,1409496,84335995,2,1286760,118914521,3,1312848,62350159,1,1213328,152709565
420,4,1426260,92209987,2,1294812,133608766,3,1324332,92213039,1,1207520,135641997
480,4,1426656,73124700,2,1316196,142628504,3,1328688,79308875,1,1222172,188940434
540,4,1435764,124359448,2,1307616,134946221,3,1332516,77161712,1,1223756,198505915
600,4,1450944,127111890,2,1311576,163761782,3,1343736,93808233,1,1223756,184207516
