timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1275240,72424912,10,1313136,108287378,10,1333644,97173962,10,1360996,76536780
60,10,1371520,110347012,10,1425988,123877078,10,1442852,129878949,10,1406024,116781478
120,10,1423716,90494565,10,1397796,454691492,10,1475940,600571646,10,1437052,488033813
180,10,1445860,442828369,10,1443828,447709804,10,1538920,480354437,10,1492872,556545878
240,10,1450112,497175998,10,1509732,611885405,10,1491680,676331747,10,1477548,460200490
300,10,1517972,525494395,10,1507160,533983218,10,1504232,456121001,10,1539340,595280564
360,10,1514892,635139547,10,1515216,561472598,10,1575064,386068801,10,1545912,521809597
420,3,1543316,582809911,10,1501980,583635743,10,1536000,552470043,10,1619024,681620441
480,10,1534548,596229328,10,1553128,594957955,10,1586528,682751399,10,1484012,615015540
540,10,1561128,607858303,10,1570412,571172091,10,1603064,636083340,10,1657136,587588208
600,10,1565568,529283909,10,1571908,638962448,10,1546208,823756726,10,1596552,734252578
