timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,10,1672564,593420138,10,1694744,521067017,10,1703124,592210593,10,1681176,517935337
60,10,1721780,560355953,10,1680616,513449337,10,1718296,590804861,10,1700488,507971131
120,10,1741536,572431198,10,1695928,503408191,9,1632628,521086048,11,1744052,590991611
180,10,1713128,544797547,11,1758764,585264755,9,1639624,466414309,10,1681100,601184993
240,10,1708508,503095909,10,1683788,641502957,10,1715264,601753199,10,1650360,529814375
300,11,1789132,623788873,9,1611320,547299074,9,1687132,610077788,11,1735024,472907327
360,11,1755152,683613099,9,1625972,466271499,8,1590376,553151263,12,1795652,551625732
420,10,1698408,599261321,10,1659368,483789223,8,1555792,461151270,12,1855604,652098015
480,9,1588320,446660510,11,1779892,634365822,9,1733920,529630721,11,1781720,667796119
540,10,1714644,426268758,10,1731776,618373367,10,1785648,664131635,10,1664900,530486154
600,11,1788560,542011554,5,1492724,639637486,9,1670324,651258959,15,1819576,595069999
