timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1327052,443831101,3,1402952,676759914,2,1367484,564178474,3,1317824,399583476
60,2,1269764,411685917,3,1458536,703415083,2,1361676,491635022,3,1318616,416077648
120,2,1277024,388011473,3,1474112,713088779,2,1334088,514514056,3,1333532,393837240
180,2,1324808,380006732,3,1470284,710835579,2,1324848,521962471,3,1338680,426517483
240,2,1330220,375021936,3,1440584,679278187,2,1333428,499171310,3,1369832,472005236
300,2,1297748,371655614,3,1463552,664246086,2,1351512,566828215,3,1369040,449959517
360,2,1301048,395106495,3,1455596,683245367,2,1373292,559744843,3,1364288,410213070
420,2,1305932,415062289,3,1444772,626128141,2,1319832,505140196,3,1360724,439347224
480,2,1285340,370622789,3,1410716,674097377,2,1362996,524105034,3,1376036,460154188
540,2,1318076,404205418,3,1407680,652116784,2,1356132,536159029,3,1373396,411508448
600,2,1311740,407327588,3,1457576,727317501,2,1318116,490189464,3,1372208,429293382
