timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1372968,356652551,3,1519704,572202316,2,1354432,233699157,3,1607480,856480094
60,2,1370328,341905136,3,1538620,553189724,2,1349020,225480257,3,1544692,879690423
120,2,1377588,314729495,3,1515892,540530123,2,1337008,227628869,3,1537008,853290072
180,2,1364916,339404299,3,1505860,558465508,2,1356940,221744350,3,1559580,877428150
240,2,1374816,360652201,3,1502164,553191190,2,1356676,220840104,3,1566444,828642512
300,2,1371120,339609436,3,1500052,565719429,2,1344664,260854944,3,1525128,777140205
360,2,1363332,329224194,3,1516024,579223939,2,1338724,263996110,3,1567632,840576446
420,2,1367556,355321596,3,1498336,552907671,2,1338592,220268176,3,1542552,856817515
480,2,1351584,324261812,3,1493716,522403981,2,1355620,254356626,3,1555092,884451326
540,2,1373760,334507036,3,1509556,577730079,2,1333576,236095917,3,1543080,826752477
600,2,1372704,383406386,3,1469164,559070968,2,1343080,227759222,3,1577532,835287313
