timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1492572,411382403,5,1542920,612045876,5,1494300,374187866,5,1549344,687192188
60,5,1519632,480533012,5,1521800,604097526,5,1482924,348071432,5,1564744,593407698
120,5,1526496,385454557,5,1505168,561590517,5,1504132,389003908,5,1556772,682692415
180,5,1533228,467753831,5,1506488,538898261,5,1504132,387999833,5,1554396,645340158
240,5,1520952,435508082,5,1499144,572512467,5,1492120,392912363,5,1587528,675979901
300,5,1517652,468716097,5,1537424,548097098,5,1461760,314984790,5,1557716,679463846
360,5,1518048,414105294,5,1546928,547053880,5,1511260,404008042,5,1562468,660740684
420,5,1530768,459398293,5,1543628,560050093,5,1477732,328581353,5,1525376,664548993
480,5,1511628,454049514,5,1543232,580305359,5,1471660,351241157,5,1565108,645882183
540,5,1545024,483006148,5,1533464,518916004,5,1505848,381354403,5,1549400,658666898
600,5,1531164,428930636,5,1511024,562964354,5,1506376,333428331,5,1585436,710216884
