timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1292576,93961055,5,1231800,62726317,5,1289528,80501086,5,1272160,70266181
60,5,1340888,71739616,5,1309680,99573048,5,1331372,90639823,5,1322188,99300907
120,5,1317260,82523104,5,1332384,94264458,5,1357640,118928326,5,1332880,113049786
180,5,1329536,111230869,5,1349808,127167257,5,1380476,150401509,5,1353736,119175741
240,5,1382732,151143922,5,1373172,165907912,5,1403708,155735721,5,1357696,105702420
300,5,1399892,173762329,5,1375680,149920675,5,1401200,192348052,5,1381984,138239413
360,5,1403852,149900075,5,1384524,197236018,5,1454924,241061292,5,1397428,183499019
420,5,1432496,178672116,5,1403004,212008150,5,1440668,234469482,5,1415908,205979234
480,5,1426688,205091308,5,1415280,222357199,5,1486340,267542708,5,1415908,207228772
540,5,1435664,221388706,5,1416072,246930287,5,1491752,299132520,5,1430296,231759763
600,5,1446752,247550886,5,1433364,291879506,5,1464032,283156835,5,1441648,259310076
