timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1227816,46091103,3,1309000,64850713,2,1215828,53352963,3,1298552,61360936
60,2,1271508,68034343,3,1335532,73450344,2,1248696,66471496,3,1314656,54964728
120,1,1208676,125899259,2,1296064,147252624,3,1266252,195294062,3,1289180,152520352
180,1,1246956,112096041,2,1289464,227325148,4,1282884,245546193,3,1329968,136768184
240,2,1278636,242312759,2,1284712,233799481,2,1309152,278296913,3,1225240,129880663
300,3,1332616,220072751,2,1273624,265770008,2,1226796,201680732,2,1410040,326434513
360,1,1265172,276571053,3,1425556,286223510,2,1247640,232073662,4,1382716,261707972
420,2,1247220,233290089,2,1469512,405181788,3,1305588,177160659,3,1336648,147614469
480,2,1317048,279259329,1,1362592,398085123,3,1311132,193301884,3,1401196,287822002
540,1,1301340,273800589,4,1335136,305280773,3,1381488,299421904,2,1380076,367689944
600,3,1316916,327414314,3,1356100,463978814,1,1266516,324357439,1,1360500,286063286
