timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1502860,480813922,5,1484936,522305052,5,1512948,633531355,5,1455604,519854847
60,5,1487532,469182029,5,1489128,544674498,5,1512288,573966407,5,1503652,494017359
120,5,1505484,512402814,5,1488732,541632577,5,1511892,581056451,5,1516324,425014957
180,5,1495320,452250735,5,1499568,553477523,5,1541856,592855826,5,1509988,478377679
240,5,1481988,468278139,5,1462212,535219275,5,1543176,550081469,5,1509724,505422126
300,5,1492284,453033457,5,1474488,550945030,5,1531560,588823252,5,1482004,475288477
360,5,1515912,504525493,5,1426440,518587771,5,1562844,586656766,5,1501144,475597797
420,5,1518684,478762603,5,1446108,517593470,5,1569576,620673052,5,1485436,477835752
480,5,1535120,494824830,5,1468416,511721387,5,1543612,597691061,5,1471672,473755727
540,5,1508984,500564368,5,1468812,516077370,5,1543348,552988550,5,1479856,503839343
600,5,1531556,464939673,5,1468284,468216270,5,1538068,640635315,5,1461904,468345732
