timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1363780,412353121,3,1510040,648694587,2,1432752,531166855,3,1388248,436939242
60,2,1389652,475964898,3,1526012,672787992,2,1415856,455196321,3,1372804,427397461
120,4,1412356,462961221,2,1422560,629523543,2,1401336,605371123,2,1432204,540444290
180,3,1326952,455071265,3,1463084,592772049,2,1406616,575066087,2,1429432,586379427
240,1,1362468,596597991,5,1439632,547438541,2,1406484,535009792,2,1414252,562554959
300,1,1344252,504794765,4,1509988,528121238,3,1406220,597269405,2,1412008,559443851
360,1,1312572,448126178,5,1496056,540654720,2,1406484,528180671,2,1423228,541440279
420,3,1400880,587589485,3,1401808,587184593,2,1416120,498269949,2,1425340,540605212
480,2,1374876,507114844,3,1423984,627964035,3,1427340,491065045,2,1415704,588532008
540,2,1349928,516580780,2,1404052,578415997,4,1502184,533588145,2,1393264,530337342
600,4,1402332,598604558,2,1402996,558505061,2,1359308,453852602,2,1450948,574752457
