timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1344244,324927542,3,1520600,712234818,2,1409960,518165234,3,1390888,435440960
60,2,1391236,420947174,3,1474400,666575808,2,1368116,490974640,3,1359868,429934430
120,3,1382656,433030930,2,1484696,662886148,2,1407452,504928842,3,1385740,419774044
180,3,1395460,481332635,2,1496576,677547315,2,1379204,453355313,3,1378216,388008731
240,3,1405492,407055567,2,1490372,651378577,2,1405868,508409730,3,1409236,444452426
300,3,1419616,406527855,2,1458032,643136749,2,1410488,526182785,3,1443556,422301828
360,3,1414996,404792562,2,1474796,667340301,2,1405604,508052572,3,1410028,432824422
420,3,1420672,416728198,2,1487204,629825744,2,1382504,469326542,3,1419268,475818332
480,3,1459876,395793938,2,1487468,672245559,2,1387652,449797649,3,1404088,475279991
540,3,1446676,329159084,2,1481396,711572760,2,1399004,488971896,3,1425868,449845110
600,3,1426084,389632574,2,1481132,660055657,2,1395176,529897378,3,1398280,412243658
