timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1204516,40955037,3,1226592,49502375,2,1204064,46318926,3,1203580,46926554
60,2,1219036,37589358,3,1263684,62067341,2,1218320,35938624,3,1248988,72004452
120,2,1226824,46060677,3,1262892,55458666,2,1218716,41260647,3,1272616,85461467
180,2,1222864,45032133,3,1291404,81342975,2,1235084,55403071,3,1315648,106083793
240,2,1250452,71904876,3,1330740,95325072,2,1236008,45395797,3,1325152,108314724
300,2,1290580,77385670,3,1336152,95986339,2,1243796,51720170,3,1328716,125101871
360,2,1294672,68310547,3,1336812,109616605,2,1267292,69162715,3,1346272,139635295
420,2,1295200,77257979,3,1342224,105196373,2,1277192,55027148,3,1357228,183713957
480,2,1301404,90394814,3,1362288,146419924,2,1284716,65181487,3,1357756,166023225
540,2,1297708,103947531,3,1354896,133747090,2,1280360,71560156,3,1368976,196250198
600,2,1297708,89573220,3,1388820,195799851,2,1277984,55754253,3,1383100,211204829
