timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1482012,417300211,5,1540392,603372025,5,1491332,365425988,5,1589940,683444115
60,5,1495300,452240999,5,1535508,513775622,5,1512268,383729558,5,1617396,702960924
120,6,1547796,482897703,5,1541316,550736418,5,1489088,358572913,4,1510728,662893847
180,6,1542084,484158529,5,1510032,539805177,5,1494236,389595419,4,1522080,571078223
240,6,1561280,496360959,5,1528644,505767120,5,1489088,352347952,4,1567884,649025720
300,6,1533164,476721627,5,1595172,515851893,5,1489748,373065953,4,1505976,610688259
360,6,1557832,471850709,5,1555176,544453447,5,1486184,356811195,4,1524984,644894949
420,6,1520476,416770268,5,1560160,579127387,5,1479452,344929003,4,1543464,636480922
480,6,1559944,512816018,5,1544848,546080415,5,1492388,356265868,4,1501488,603833107
540,6,1583704,489389113,5,1565044,542187714,5,1478528,363895475,4,1521420,626958744
600,6,1596508,435803822,5,1514884,540437581,5,1456416,401148674,4,1541352,646169558
