timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1204676,50935273,5,1212432,53059731,5,1195032,47150274,5,1213852,63224491
60,5,1272128,74408902,5,1291500,89968683,5,1236348,56903394,5,1272460,89928182
120,5,1353968,103798390,5,1340076,103364673,5,1316472,95737071,5,1313380,96614331
180,5,1373108,95915488,5,1390764,103424702,5,1343532,91160930,5,1371724,142216109
240,5,1379972,111839538,5,1405680,129795255,5,1363596,109734393,5,1412512,150772555
300,5,1428284,135075360,5,1389444,133444595,5,1399632,130434746,5,1462936,202382524
360,5,1431716,160177515,5,1422048,156652918,5,1418772,144517626,5,1465048,206505555
420,5,1438976,159021294,5,1472472,226109630,5,1426428,151371028,5,1465576,214832626
480,5,1451648,162186132,5,1483428,244364124,5,1453620,162014249,5,1465708,263082983
540,5,1467356,233659612,5,1477356,233667727,5,1456920,157170688,5,1473628,299883424
600,5,1456796,226160443,5,1492508,276252998,5,1465104,179196277,5,1512276,319794441
