timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1228808,59847567,5,1255396,81064480,5,1225528,69720286,5,1231520,77935336
60,5,1292828,95535099,5,1330636,94839458,5,1248232,68564249,5,1244456,79857636
120,5,1315664,86608809,5,1364032,105434500,5,1315288,117230232,5,1344380,132262132
180,5,1349192,106692716,5,1379212,112100999,5,1339444,86789887,5,1388996,155238444
240,5,1373216,112284112,5,1402576,137559040,5,1360036,114028178,5,1416320,173932149
300,5,1409516,157852713,5,1430428,149849459,5,1361884,126147075,5,1430972,204003790
360,5,1410440,139619974,5,1444948,192557434,5,1397524,168641228,5,1471496,218580307
420,5,1419680,178942077,5,1468840,219087363,5,1425640,148173511,5,1455392,241581803
480,5,1436708,229908859,5,1472008,183289827,5,1437652,185047484,5,1477700,266247124
540,5,1449248,216318961,5,1488048,279099109,5,1453624,175168470,5,1484616,274748465
600,5,1448852,216422297,5,1483316,303566047,5,1459168,186782990,5,1481896,332853166
