timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1518340,475641633,5,1553416,538210400,5,1478652,388772889,5,1656548,695766476
60,5,1525904,474688707,5,1579432,588602121,5,1493584,334573442,5,1593716,647139312
120,6,1585556,542109614,4,1467760,530634348,6,1606676,491953235,4,1502636,598602303
180,6,1550628,529290926,4,1467892,498064753,7,1672296,564687630,3,1424228,512226344
240,6,1557888,445727396,5,1576000,549375660,6,1613952,590353843,3,1407332,493431399
300,8,1695200,595792670,4,1499968,562326140,5,1514424,509088897,3,1412216,480450224
360,7,1629780,609885666,4,1520164,500598579,5,1513632,457945734,4,1461056,545573049
420,6,1569984,569069285,4,1506040,484645857,6,1633356,578879558,4,1471352,455985943
480,5,1490784,500308503,5,1588672,553000575,5,1527360,557066788,5,1577084,521898142
540,5,1485108,411181770,5,1600728,625815422,5,1532772,485995464,5,1567052,528940560
600,7,1667004,536161548,3,1418312,527424460,5,1532376,496512030,5,1544176,580274145
