timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1206244,48692735,5,1207504,34006842,5,1229008,63081317,5,1203492,44753381
60,5,1265248,67398370,5,1270996,70478158,5,1278640,61666759,5,1267908,72494270
120,5,1297852,58526844,5,1320760,69400792,5,1309000,66350703,5,1315692,74992341
180,5,1319896,62230179,5,1323664,73092630,5,1342660,85294816,5,1328100,79379654
240,5,1321348,90874482,5,1338052,81955481,5,1371436,96772819,5,1331136,65642089
300,5,1328080,94957381,5,1360228,95561773,5,1384636,95566527,5,1342488,73780809
360,5,1326892,86673138,5,1402600,113379646,5,1410244,112918795,5,1366512,102199004
420,5,1348408,90135950,5,1390192,96066191,5,1442716,152580171,5,1366380,103167955
480,5,1391308,135409925,5,1407484,111463470,5,1432288,138740535,5,1369416,115787452
540,5,1403584,86326098,5,1427284,139386490,5,1452748,168446414,5,1381560,127133972
600,5,1404244,129545161,5,1417384,128588167,5,1473076,170351887,5,1385124,144461982
