timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1270500,70236426,5,1255120,71735070,5,1258884,80603064,5,1259504,80133651
60,5,1278948,71477466,5,1297360,93224231,5,1309704,69200981,5,1319036,116476874
120,5,1354584,324829160,7,1337412,365101698,4,1259016,199874505,4,1307372,318152012
180,5,1382304,313389098,5,1304712,268075353,5,1355288,307769212,5,1342088,313125331
240,5,1291232,305697720,5,1256004,368223305,5,1356412,291255588,5,1405724,394656897
300,4,1315452,345991080,5,1351572,306478852,7,1418848,362271634,4,1346852,402453594
360,5,1448328,382062228,4,1331904,327604441,6,1361404,411015213,5,1416916,315787868
420,5,1391700,390564472,4,1335968,360240720,5,1436060,406161531,6,1388544,428917305
480,4,1308716,387963443,4,1341116,363919695,7,1455548,456309089,5,1430124,411133287
540,6,1429812,387870740,5,1387052,434417082,5,1429916,425622579,4,1408608,390426385
600,4,1338948,402168291,5,1367052,353739455,6,1464932,413040098,5,1476232,447600141
