timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1332772,326374012,3,1453704,545077439,2,1266616,247201019,3,1568424,784732767
60,2,1338712,338485342,3,1489212,521289688,2,1269784,232852898,3,1530672,867464874
120,1,1356664,446387079,1,1330152,595552350,3,1347664,378155078,5,1464304,873533473
180,1,1417120,727227839,3,1420836,525915252,3,1371820,457999873,3,1381144,418931265
240,1,1397056,676122099,2,1393644,587522365,3,1412476,445785181,4,1375072,368096614
300,1,1407220,697667792,2,1383480,571612006,4,1428200,597647069,3,1289800,312295857
360,1,1401148,752488812,2,1374240,534257473,3,1326900,463281233,4,1375468,416453652
420,1,1428340,725544044,2,1360776,582576133,3,1348944,415018972,4,1464304,408303135
480,1,1426492,719960344,3,1444596,589919907,3,1334688,398828677,3,1348804,422956353
540,1,1386232,687337298,2,1383084,662813564,3,1312248,403273993,4,1364008,438281392
600,1,1414480,681112060,1,1327644,507210457,4,1361616,519152474,4,1426576,435938143
