timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1310784,85967420,5,1306008,89653187,5,1323884,96399761,5,1320356,85705133
60,5,1324908,90766358,5,1314588,84008432,5,1331012,96375123,5,1325768,82324883
120,3,1299960,102576009,5,1354196,237628484,5,1376068,228891275,0,1263860,165275758
180,3,1317128,190328357,4,1363512,185628990,4,1354868,217474431,5,1314416,215628438
240,4,1301744,186971639,3,1388940,210040048,3,1383992,301190851,2,1296068,179195005
300,5,1332280,210793498,3,1443648,275632414,4,1373216,272047683,3,1184924,146495294
360,2,1264960,165072590,4,1367296,281024502,6,1466180,301152476,3,1211704,117411276
420,5,1343864,211638231,4,1338932,231973814,4,1400428,261565241,2,1189264,172328670
480,3,1417172,249581802,5,1435412,227745993,3,1242952,209040740,3,1225564,142687929
540,5,1403348,268429831,5,1481228,247664332,4,1232788,168624909,3,1247212,94197375
600,2,1393428,286091619,1,1356352,281715051,4,1227368,161994910,4,1296372,216682526
