timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1155580,36726548,3,1213256,65380209,2,1170192,53877155,3,1259676,54172834
60,2,1192540,54099046,3,1224608,58319000,2,1176132,30735137,3,1312872,85433222
120,3,1227256,91564095,3,1270808,74535799,3,1225500,84123043,1,1227040,112605789
180,3,1263952,73698519,3,1288628,74428331,3,1233552,54751930,1,1238656,83396544
240,3,1273852,73902661,3,1298396,87334676,3,1265100,71754369,1,1254628,109065680
300,3,1296424,86494018,3,1295228,93028162,3,1276584,58580031,1,1253572,130950868
360,3,1301704,94773597,3,1297340,120206722,3,1288596,56525098,1,1260832,135473695
420,3,1310548,104358874,3,1304996,130092389,3,1291764,69379942,1,1261888,149206735
480,3,1323484,130325161,3,1314632,137753101,3,1288332,64971906,1,1269280,162373597
540,3,1328896,125539534,3,1335356,157983861,3,1294140,69777465,1,1270996,178841142
600,3,1335628,150763539,3,1340900,162230639,3,1302588,83591583,1,1276276,178832160
