timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1383784,402731660,3,1519044,669143804,2,1379980,508359725,3,1387464,416756197
60,2,1376524,446826617,3,1550196,671509192,2,1387768,482639948,3,1404624,405626790
120,3,1412692,427433420,2,1473372,644815184,2,1357144,498069850,3,1416900,453042550
180,3,1428004,440425994,2,1480236,635317902,2,1371136,506500871,3,1435644,422428163
240,3,1444108,417027499,2,1470468,631405528,2,1369420,483817502,3,1424820,430770547
300,3,1463116,421721947,2,1483404,611818190,2,1368496,518943147,3,1393140,424828636
360,3,1397380,398005030,2,1540824,663862888,2,1406248,541728205,3,1413468,392114886
420,3,1451368,406565253,2,1521552,690080913,2,1348960,466663035,3,1423236,436407258
480,3,1423780,373556988,1,1359984,522445241,3,1476472,688737208,3,1432212,413450539
540,3,1423648,411062416,1,1347444,418602982,3,1562932,751684307,3,1395516,421289523
600,3,1452292,425330081,2,1438068,507511403,2,1444780,704408066,3,1401456,410620233
