timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1322744,81180037,5,1316316,87518426,5,1356464,90602308,5,1313480,80458566
60,5,1333172,86404685,5,1327008,84601261,5,1375340,91044911,5,1321400,76761339
120,5,1342148,88441594,5,1322652,88887805,4,1349336,95602988,6,1356908,111784952
180,8,1380096,188371054,5,1326612,86668468,4,1337192,100526730,3,1328108,118564367
240,3,1309740,137869147,8,1468452,196228180,6,1374572,153517928,3,1300388,94692218
300,4,1183548,116525811,5,1438168,156059300,5,1343564,109589604,6,1446848,197562790
360,6,1299576,117904616,4,1312636,135875326,7,1361084,165265160,3,1418944,172345701
420,7,1381940,131714049,8,1372036,204973709,3,1334028,157661348,2,1257772,133630657
480,9,1467588,194647117,4,1296400,103532169,3,1313436,101717948,4,1274536,141367641
540,7,1466608,144085664,5,1232764,100914441,4,1384584,132059564,4,1295128,78466658
600,6,1394932,133101779,6,1298896,99187675,3,1413360,118085049,5,1336444,113013510
