timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1481820,470573480,5,1535916,600772958,5,1497108,351321069,5,1561552,705318867
60,5,1485028,468481103,5,1540884,568342835,5,1482324,376541024,5,1598296,679425109
120,5,1490620,427571741,5,1546428,580248907,5,1514544,398079290,5,1553944,599034612
180,5,1498144,449359708,5,1540620,560199113,5,1488804,331775849,5,1571368,669819737
240,5,1475704,420226779,5,1547748,534034758,5,1489200,428556168,5,1620076,660438216
300,5,1499068,413598533,5,1545636,549529906,5,1507812,376208986,5,1589056,686942457
360,5,1506404,456359776,5,1584180,585151404,5,1489992,361035475,5,1566220,639485970
420,5,1496504,426787913,5,1548276,584426932,5,1478904,378304867,5,1602256,654886035
480,5,1509836,474967948,5,1551444,566318451,5,1462140,355461396,5,1594072,662814812
540,5,1500596,396504061,5,1537716,595080953,5,1487748,395899378,5,1620800,632925733
600,5,1493864,444593364,5,1587084,576540653,5,1510716,388233211,5,1566944,651467329
