timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1296724,363974397,3,1400244,601482386,2,1185824,258434422,3,1465972,862040334
60,2,1274284,312724038,3,1399128,605534711,2,1227668,230055856,3,1491548,901846569
120,0,1180536,413075013,1,1423680,609248409,1,1212884,205407224,1,1503956,869841714
180,2,1470348,835784595,1,1304952,606194092,3,1310900,509479392,2,1347272,526073075
240,2,1595084,1199551484,2,1162260,246787902,1,1307336,457759734,1,1249988,226862811
300,1,1506380,1142590025,1,1330296,470541517,1,1208732,342949897,3,1248140,238629696
360,1,1315772,789522346,2,1391804,817407683,3,1310900,399915125,3,1362848,243499055
420,1,1315772,768843001,1,1408700,710633168,2,1347020,448161120,1,1272692,185587323
480,1,1282112,726757687,2,1355372,632385658,3,1376428,512933995,3,1311368,416729366
540,1,1330952,778496043,1,1317224,528974806,2,1308448,418491257,3,1395576,379169639
600,1,1319468,800903347,2,1284224,515485959,3,1358344,450486623,3,1406564,424006017
