timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1176600,38771050,3,1215052,45164619,2,1164608,41840839,3,1228888,32157205
60,2,1202340,44653762,3,1257952,53705520,2,1207244,53304785,3,1258324,51339738
120,0,1171716,81182059,2,1315768,156436201,0,1214636,65112303,0,1260304,126794226
180,1,1186368,88055160,4,1278940,97402940,2,1254896,184915164,2,1312124,118027203
240,1,1218840,159052621,1,1238152,135004607,1,1226120,134821755,0,1296020,130039659
300,3,1272828,152472323,2,1291876,135896847,1,1203812,120383357,2,1317932,118442174
360,1,1304904,209051634,0,1212280,198576233,2,1209356,91092392,1,1301036,108156180
420,2,1288404,184497762,2,1303096,179833896,3,1296080,130290801,1,1278860,140893120
480,0,1231380,239000591,1,1350220,237408031,0,1187972,155060971,2,1288892,96550034
540,1,1234812,151756194,3,1352332,228422344,2,1242752,213790690,1,1270280,160267761
600,1,1258440,236989144,1,1272736,236558518,2,1247344,184564920,0,1289552,167236291
