timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1155564,51110361,3,1169248,32514756,2,1129932,29041502,3,1227040,42419471
60,2,1170348,38753118,3,1226800,71644069,2,1198440,68058647,3,1245652,44798102
120,3,1192392,78677448,3,1212676,105491884,2,1203324,56573773,2,1243936,102516538
180,1,1171044,200219693,1,1165684,194905647,1,1175472,94439912,1,1236412,174918764
240,3,1279548,144404849,3,1218748,123081294,2,1183260,152479294,2,1258588,115102952
300,2,1181472,273463325,1,1201588,205241924,0,1206888,178105452,0,1248556,128068379
360,2,1222260,100702587,3,1251088,139140451,3,1284900,218338362,2,1284196,87901403
420,2,1209984,107727565,2,1253992,189599588,2,1215072,250403971,1,1267696,153878623
480,1,1200084,169338984,3,1300060,164506162,2,1191444,148462580,3,1330000,251295699
540,2,1275720,256923693,2,1201192,212381297,1,1186692,168088628,1,1224400,230024941
600,2,1301064,283535204,2,1233004,167317352,2,1256784,131901402,3,1288552,206843563
