timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1268116,55961005,3,1291036,73451498,2,1246840,74526608,3,1246772,55017189
60,2,1280920,69140171,3,1307140,90341406,2,1263604,69619208,3,1256672,82516064
120,3,1302568,112398009,2,1324564,154193582,2,1279576,88230195,3,1266836,78414411
180,3,1333456,112051548,2,1358356,159169570,2,1299772,119622405,3,1270532,97123317
240,3,1342432,107912668,2,1363372,190080494,2,1316008,145629123,3,1283204,119904850
300,3,1357612,128126754,2,1361920,199152997,2,1327492,167499785,3,1304192,139392819
360,3,1376356,139471321,2,1353868,229204563,2,1332772,181086796,3,1312376,170598161
420,3,1363288,155221881,2,1377100,257447524,2,1338712,217923492,3,1334288,175608380
480,4,1464664,301894176,1,1284040,219492096,1,1273372,227484352,4,1381544,262831272
540,2,1428628,309838706,3,1348192,352583626,1,1270468,198057537,4,1367948,214579299
600,2,1401172,273820573,1,1294996,261994819,3,1409992,359379480,4,1394216,250432082
