timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1547788,502838424,5,1503404,563436879,5,1453972,367698103,5,1608856,672401917
60,5,1508320,447958887,5,1551168,568977724,5,1459120,383711495,5,1566616,681162435
120,5,1537756,467343916,5,1531632,562411717,5,1501872,398794285,5,1563844,644073901
180,5,1495516,454590654,5,1558428,579584592,5,1489412,372612661,5,1571112,650493119
240,5,1525744,414892866,5,1569780,568370303,5,1509872,385865523,5,1573804,688785395
300,5,1506868,418471273,5,1562316,627563242,5,1510144,362468767,5,1569844,644113207
360,5,1525744,474739128,5,1537896,599125706,5,1488364,315968899,5,1590436,685665407
420,5,1497304,479337005,5,1555980,549188574,5,1493116,367485173,5,1596508,630345457
480,5,1518028,447592068,5,1542384,531764229,5,1538128,397676965,5,1588456,694332027
540,5,1525948,443261114,5,1551360,596855825,5,1496812,376384817,5,1592152,629994468
600,5,1516180,451945296,5,1537764,554772719,5,1499224,392936494,5,1579612,655365323
