timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1512376,449220371,5,1544204,579529513,5,1487496,400520919,5,1544368,687191896
60,5,1522500,488116512,5,1562156,568391498,5,1479840,374795720,5,1584628,681533215
120,6,1576220,533226131,4,1478544,578076129,6,1573788,446463302,4,1466092,606525309
180,7,1624932,501220101,3,1420032,541045887,7,1677232,572416364,3,1392700,498117358
240,8,1729912,546115504,3,1412640,511990876,6,1615488,556960843,3,1399564,493825753
300,8,1689888,532816582,4,1451316,559457175,5,1560708,529204421,3,1410784,484056684
360,8,1704936,536274183,3,1377396,493787740,5,1545924,539567434,4,1450120,494304260
420,8,1717344,512831889,3,1405512,499227721,5,1571664,548508311,4,1438108,467481831
480,8,1734240,536676894,3,1398780,474097031,4,1465536,564735010,5,1510972,506370713
540,8,1714436,544974359,4,1435080,527234721,3,1380000,445302868,5,1539948,552433260
600,7,1613324,591611142,4,1475472,513734183,5,1489428,487399319,4,1476192,519702700
