timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1247892,75611483,5,1245340,79333325,5,1275208,88870574,5,1252832,57776426
60,5,1319964,74602199,5,1290484,82408054,5,1330252,97671236,5,1316060,90516609
120,5,1348740,97629481,5,1297876,85127747,5,1347412,105833198,5,1336124,101803737
180,5,1340424,87038799,5,1335232,147544897,5,1387144,130769019,5,1354472,113806915
240,5,1349928,107121864,5,1345528,136868001,5,1413544,166750274,5,1358432,125858873
300,5,1387284,145517708,5,1376548,161690303,5,1437700,162715782,5,1375196,175848654
360,5,1414080,150909142,5,1400704,179827234,5,1458688,213730896,5,1412288,171094881
420,5,1444704,182609603,5,1414036,206679584,5,1458952,209395711,5,1440272,185719904
480,5,1461204,209182685,5,1411924,215042337,5,1469248,242529352,5,1432220,190549636
540,5,1464504,236140684,5,1442548,245983681,5,1493536,292622702,5,1442384,206323862
600,5,1468464,217792498,5,1486768,276094267,5,1483620,295782870,5,1465220,242298762
