timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1227668,60770804,5,1240260,63283252,5,1211612,48014718,5,1193560,56654263
60,5,1279148,58579744,5,1283820,74175966,5,1242764,53009139,5,1261804,77755402
120,5,1323500,64550941,5,1314708,69557088,5,1285136,62898629,5,1303648,93985154
180,5,1328780,65458224,5,1366980,107072876,5,1294772,59522337,5,1360408,106897215
240,5,1333532,85898998,5,1387044,91185256,5,1334240,83806780,5,1381000,89605579
300,5,1341452,90923428,5,1396548,103223597,5,1333580,71626808,5,1380736,122222424
360,5,1369172,95702394,5,1408692,118505833,5,1365260,92431305,5,1396972,134896352
420,5,1394252,106519666,5,1428096,135660049,5,1367240,89463676,5,1420336,144638088
480,5,1395044,94151500,5,1456344,141196054,5,1376876,114022580,5,1424956,166160012
540,5,1423424,153718292,5,1456476,144600805,5,1381364,106340081,5,1438024,156574104
600,5,1423820,133860268,5,1456476,152145420,5,1396280,132052959,5,1465084,181298132
