timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,5,1295252,80687205,5,1299076,93724288,5,1321400,100862533,5,1335988,90750335
60,5,1340792,87858589,5,1329964,89975768,5,1366148,97835566,5,1352224,84445669
120,1,1337096,85993143,2,1353724,90174941,2,1372880,108726408,0,1364236,83251502
180,4,1283288,270480805,3,1307268,234210487,3,1329084,245014502,5,1269632,304784386
240,3,1342556,159774993,1,1272684,158656720,2,1284600,160789482,4,1362824,163599048
300,3,1307896,195097036,4,1313392,264742839,3,1307600,217397746,1,1294972,161455410
360,2,1315816,141177046,4,1335968,212334218,4,1342948,234692964,2,1239400,202512939
420,4,1255624,164683828,4,1340736,205173795,4,1353416,223747769,4,1329028,181589481
480,2,1268560,67250865,3,1334844,201434751,2,1348004,175192133,2,1352788,137198518
540,3,1311196,149813699,5,1349884,255013735,4,1334992,241023837,4,1310308,233012107
600,1,1300768,83940599,3,1390408,155276258,3,1342972,188309537,2,1361656,161817113
