timestamp,ppgcc-m02_pod_amount,ppgcc-m02_memory,ppgcc-m02_cpu,ppgcc-m03_pod_amount,ppgcc-m03_memory,ppgcc-m03_cpu,ppgcc-m04_pod_amount,ppgcc-m04_memory,ppgcc-m04_cpu,ppgcc-m05_pod_amount,ppgcc-m05_memory,ppgcc-m05_cpu
0,2,1163796,29353684,3,1202116,31358293,2,1177184,42566860,3,1258928,43401647
60,2,1195344,48939937,3,1265344,66035003,2,1196588,44729101,3,1281764,43386608
120,2,1208544,53646357,2,1297816,65968678,2,1224704,56610959,3,1318988,50055126
180,3,1253688,94608390,2,1280260,98172061,2,1233416,59453663,3,1335752,48656646
240,2,1255668,77163028,1,1291876,72243975,2,1254008,75070755,3,1341692,73254153
300,2,1185312,53610071,1,1236964,82714108,3,1327268,156260915,4,1409672,173245098
360,2,1185972,30058105,1,1248580,83120156,2,1344164,120287848,3,1444652,137604166
420,4,1290516,144633434,1,1250296,101001061,1,1295060,166397946,1,1360568,107556426
480,7,1476880,348157893,1,1249636,90608190,1,1224440,127277339,1,1208240,69220417
540,3,1515064,244136047,1,1255840,101938937,1,1225100,128251265,1,1207316,26988707
600,0,1225060,210041631,2,1328176,203886432,3,1276976,207377225,2,1303676,130149520
